trait,method,pearson_sd,pearson_mean,bias_sd,bias_mean
BF100,PBLUP,0.01098226828737595,0.3126545736193872,0.040452254741272814,0.9647035743668763
BF100,GBLUP,0.010932206979899795,0.3246567982051577,0.040185709445328975,0.9953415597326627
BF100,BayesianLasso,0.01079942904862743,0.32473976880604216,0.0414770454997397,0.9748629324395813
BF100,RKHS,0.013989596598722828,0.3263240865766639,0.04921634356186681,0.9979985673000222
BF100,KAML,0.011507586061953064,0.31333853351281205,0.04255106139948136,0.9306788291595327
BF100,ssGBLUP_AT,0.00926965973585018,0.3125791911108825,0.03856622590080872,1.015372223510475
BF100,ssGBLUP_GT,0.012698971360558524,0.1312529033263265,0.14358334875957612,1.1523085873442191
BF100,GOBLUP,0.01078818534690737,0.32280672224376167,0.03967502353388978,0.9900749808265528
BF100,FSBLUP,0.01287076473558835,0.33170554825384785,0.0480327819951411,0.9718692545168442
D100,PBLUP,0.015036842163780609,0.29478815833041816,0.060291209047854843,0.9716534125103611
D100,GBLUP,0.01273588758566537,0.249748400221668,0.06380563361351639,1.0066657079243577
D100,BayesianLasso,0.015163299914146385,0.253242217061027,0.09557720368079788,0.8595587399373639
D100,RKHS,0.015389384449333268,0.2775231635135298,0.09941202889601493,1.1153925707439378
D100,KAML,0.015286370083450388,0.2505135806935322,0.07539467554249328,0.5674201293941948
D100,ssGBLUP_AT,0.015559740854086413,0.28792693931350116,0.06117984723733543,0.9433423022595256
D100,ssGBLUP_GT,0.013293516561767646,0.24529061295276317,0.06939847269834962,0.9953967772871269
D100,GOBLUP,0.013498122820503037,0.2523986189590442,0.06431168848088294,0.9907798062617637
D100,FSBLUP,0.012099503644362108,0.3095188169691706,0.042247662328236096,0.9486292263021094
TNB,PBLUP,0.015556360030552014,0.11379650278196801,0.24886193331609607,1.1575673037627914
TNB,GBLUP,0.017833120589721935,0.1312070171652617,0.20656139523661105,1.0857654506619585
TNB,BayesianLasso,0.019010753603946322,0.13188271164543508,0.15430194697139407,0.9018578277136036
TNB,RKHS,0.01959961190223225,0.1364330337588281,0.18535958107581565,1.136686674327459
TNB,KAML,0.0273989950107474,0.11051451125226674,0.18340852533682303,0.5889445148225108
TNB,ssGBLUP_AT,0.01426623747459577,0.09933074963026335,0.31197595325699606,1.1794889745761281
TNB,ssGBLUP_GT,0.017335644741791556,0.13319286088770765,0.19279754514335873,1.0721575443012203
TNB,GOBLUP,0.017781887769380517,0.12605384389342036,0.19734991378308095,1.0290815451868436
TNB,FSBLUP,0.020179105458773074,0.13770452494254182,0.1824436885692077,0.9670016335252927
