trait,method,time,logtime
BF100,PBLUP,85.89274144172668,1.9339564643551168
BF100,GBLUP,56.8046987056732,1.7543842606678273
BF100,BayesianLasso,54525.504062891014,4.736599689119518
BF100,RKHS,2528.1787850856776,3.402807782676277
BF100,KAML,67173.45500922202,4.827197686438504
BF100,ssGBLUP_AT,781.1722073554993,2.892746783506166
BF100,ssGBLUP_GT,1566.693184375763,3.194983954107929
BF100,GOBLUP,48619.58961534502,4.686811288761877
BF100,FSBLUP,21133.28806686401,4.32496707292553
D100,PBLUP,78.3954336643219,1.894290766866292
D100,GBLUP,57.85294580459596,1.7623254776198136
D100,BayesianLasso,35976.77561950685,4.556022237569692
D100,RKHS,3338.3436059951787,3.523531035311377
D100,KAML,87743.80673313142,4.943216472185747
D100,ssGBLUP_AT,687.2281041145326,2.8371009116094
D100,ssGBLUP_GT,1915.024896621704,3.282174424463983
D100,GOBLUP,70183.69203472143,4.846236210675217
D100,FSBLUP,22569.876808166508,4.353529188600159
TNB,PBLUP,76.22280263900757,1.88208491331936
TNB,GBLUP,55.227662801742554,1.74215666455658
TNB,BayesianLasso,55862.32022809985,4.747118970056961
TNB,RKHS,3045.679404735565,3.483684186563388
TNB,KAML,71714.84154105185,4.855609043148559
TNB,ssGBLUP_AT,956.0683891773226,2.9804889592008124
TNB,ssGBLUP_GT,561.7810111045837,2.749567055421147
TNB,GOBLUP,25123.38594865799,4.400078170085943
TNB,FSBLUP,26192.055526018128,4.418169582754248
