trait,method,time,log_time
D100,ABLUP,78.3954336643219,1.894290766866292
D100,BayesianLasso,35976.77561950685,4.556022237569692
D100,GBLUP,57.85294580459596,1.7623254776198136
D100,GOBLUP,70183.69203472143,4.846236210675217
D100,FSBLUP,22569.876808166508,4.353529188600159
BF100,ABLUP,85.89274144172668,1.9339564643551166
BF100,BayesianLasso,54525.504062891014,4.736599689119518
BF100,GBLUP,56.8046987056732,1.7543842606678273
BF100,GOBLUP,48619.58961534502,4.686811288761877
BF100,FSBLUP,21133.28806686401,4.32496707292553
TNB,ABLUP,76.22280263900757,1.88208491331936
TNB,BayesianLasso,55862.32022809985,4.747118970056961
TNB,GBLUP,55.227662801742554,1.74215666455658
TNB,GOBLUP,25123.38594865799,4.400078170085943
TNB,FSBLUP,26192.055526018128,4.418169582754248
