Scenario,Method,pearson_mean,pearson_sd,bias_mean,bias_sd,Trait
Scenario 1,ABLUP,0.13638266914102706,0.08062463652565603,0.2320120481975735,0.1423094595245716,T1
Scenario 1,GBLUP,0.39156378466539266,0.05374063864599744,0.4943552531051191,0.08064317285333365,T1
Scenario 1,GBLUP+T,0.5560486163081436,0.04449911229654933,0.5508130426626806,0.04608290434530684,T1
Scenario 1,GBLUP+T+A,0.5470815339731454,0.0504967731355095,0.5403424469971877,0.0508339015243567,T1
Scenario 1,GOBLUP,0.5579611789990508,0.04510837633614339,0.8261987392208655,0.08030660722163267,T1
Scenario 1,TBLUP,0.5181047216128937,0.04123237363159463,0.4675610705834384,0.04056342153902614,T1
Scenario 1,FSBLUP,0.5604936722004971,0.04861914164300208,0.6004003883079913,0.06837878505193377,T1
Scenario 1,ABLUP,0.11857769212693986,0.09454613169225956,0.25956971729925715,0.20975350051827069,T2
Scenario 1,GBLUP,0.244687487963789,0.07895505144105842,0.389076989868316,0.11574036736818794,T2
Scenario 1,GBLUP+T,0.26414142591556083,0.08371265124336297,0.37034258660538694,0.10681875061081011,T2
Scenario 1,GBLUP+T+A,0.2352168516743579,0.08739366720155248,0.3682728113980338,0.12870149079625917,T2
Scenario 1,GOBLUP,0.25740803671248497,0.09056329084236826,0.28463849385073936,0.09545441483688304,T2
Scenario 1,TBLUP,0.1780981244007549,0.07446368478174446,0.2579678685523367,0.10847071772174777,T2
Scenario 1,FSBLUP,0.2972751612527083,0.07502566629707882,0.4941335875659704,0.11701943546396394,T2
Scenario 2,ABLUP,0.13638266914102706,0.08062463652565603,0.2320120481975735,0.1423094595245716,T1
Scenario 2,GBLUP,0.39156378466539266,0.05374063864599744,0.4943552531051191,0.08064317285333365,T1
Scenario 2,GOBLUP,0.3460541967005469,0.04809850311202993,0.6167884028510517,0.0818414824766299,T1
Scenario 2,ssGBLUP_AT,0.19349113548275823,0.06686318559029529,0.23151145147928837,0.0773210446364936,T1
Scenario 2,ssGBLUP_GT,0.30022039322733834,0.05874692002228877,0.35431906934531865,0.07957114053256929,T1
Scenario 2,FSBLUP,0.3905102363546266,0.04918933924430924,0.5225810856869784,0.07726657186465365,T1
Scenario 2,ABLUP,0.11857769212693986,0.09454613169225956,0.25956971729925715,0.20975350051827069,T2
Scenario 2,GBLUP,0.244687487963789,0.07895505144105842,0.389076989868316,0.11574036736818794,T2
Scenario 2,GOBLUP,0.2020041220147485,0.08743490610168766,0.2494780258825284,0.10496654174835876,T2
Scenario 2,ssGBLUP_AT,0.110450302363661,0.079566196221094,0.3398365998989811,0.24386108617854457,T2
Scenario 2,ssGBLUP_GT,0.16974847939510015,0.08212737857231935,0.4832913525569,0.2199161994791972,T2
Scenario 2,FSBLUP,0.25596339779664706,0.0792729578525734,0.4147908001501453,0.1442108603800646,T2
Scenario 3,ABLUP,0.13638266914102706,0.08062463652565603,0.2320120481975735,0.1423094595245716,T1
Scenario 3,GOBLUP,0.23560054203898737,0.07083727538097788,0.6128104906131782,0.19420110229816803,T1
Scenario 3,ssGBLUP_AG,0.2968070758859899,0.06642352843886878,0.31846853698664096,0.07644208543893995,T1
Scenario 3,ssGBLUP_AT,0.19349113548275823,0.06686318559029529,0.23151145147928837,0.0773210446364936,T1
Scenario 3,ssGBLUP_GT,0.30097365764401257,0.05749315186124727,0.4597929413481392,0.11762096933031016,T1
Scenario 3,FSBLUP,0.36351581362267504,0.0588192445034752,0.43939461471552366,0.080211668137386255,T1
Scenario 3,ABLUP,0.11857769212693986,0.09454613169225956,0.25956971729925715,0.20975350051827069,T2
Scenario 3,GOBLUP,0.14270572184197444,0.09570523395027931,0.28152503402850054,0.18646498775930137,T2
Scenario 3,ssGBLUP_AG,0.17763466310295992,0.08160941057687401,0.35554052398047126,0.14336050366950823,T2
Scenario 3,ssGBLUP_AT,0.110450302363661,0.079566196221094,0.3398365998989811,0.24386108617854457,T2
Scenario 3,ssGBLUP_GT,0.1412818107397399,0.0826267853064687,0.5338015156394709,0.32972549165397597,T2
Scenario 3,FSBLUP,0.21845918442925497,0.07635433432897046,0.3392740961867415,0.12321554190535144,T2
