Scenario,Method,pearson_mean,pearson_sd,bias_mean,bias_sd
1,A,0.13638266914102706,0.08062463652565603,0.2320120481975735,0.1423094595245716
1,G,0.39156378466539266,0.05374063864599744,0.4943552531051191,0.08064317285333365
1,G + T,0.5560486163081436,0.04449911229654933,0.5508130426626806,0.04608290434530684
1,G + T + A,0.5470815339731454,0.0504967731355095,0.5403424469971877,0.050833901524356705
1,GOBLUP,0.5579611789990508,0.04510837633614339,0.8261987392208655,0.08030660722163267
1,T,0.5181047216128937,0.04123237363159463,0.46756107058343843,0.040563421539026145
1,ssGOBLUP,0.5604936722004971,0.04861914164300208,0.6004003883079913,0.06837878505193377
2,A,0.13638266914102706,0.08062463652565603,0.2320120481975735,0.1423094595245716
2,G,0.39156378466539266,0.05374063864599744,0.4943552531051191,0.08064317285333365
2,G + T,0.4273887078349844,0.06306829405765704,0.9469922891548136,0.17448582274826782
2,GOBLUP,0.3460541967005469,0.04809850311202993,0.6167884028510517,0.0818414824766299
2,H_AT,0.19349113548275823,0.06686318559029529,0.23151145147928837,0.0773210446364936
2,H_GT,0.30022039322733834,0.058746920022288776,0.35431906934531865,0.07957114053256929
2,T,0.2753830243064421,0.07750880039608096,0.8542583748609331,0.5790883308834105
2,ssGOBLUP,0.39051023635462667,0.04918933924430924,0.5225810856869784,0.07726657186465365
3,A,0.13638266914102706,0.08062463652565603,0.2320120481975735,0.1423094595245716
3,G,0.33285423640437817,0.06767971639370647,0.47664550364444835,0.11102744939080776
3,G + T,0.4273887078349844,0.06306829405765704,0.9469922891548136,0.17448582274826782
3,GOBLUP,0.23560054203898734,0.07083727538097788,0.6128104906131782,0.19420110229816803
3,H_AG,0.2968070758859899,0.06642352843886878,0.31846853698664096,0.07644208543893995
3,H_AT,0.19349113548275823,0.06686318559029529,0.23151145147928837,0.0773210446364936
3,H_GT,0.30097365764401257,0.05749315186124727,0.4597929413481392,0.11762096933031017
3,T,0.2753830243064421,0.07750880039608096,0.8542583748609331,0.5790883308834105
3,ssGOBLUP,0.36351581362267504,0.0588192445034752,0.43939461471552366,0.080211668137386255
