ph_data,p_cor,g_cor
Hyper_BLUE_398nm::0110,0.00590709287938852,0.03977267390470718
Hyper_BLUE_405nm::0110,-0.05223756575767478,-0.04291370339609079
Hyper_BLUE_412nm::0110,-0.034176337608273565,0.013489293269854465
Hyper_BLUE_420nm::0110,-0.03353954514642271,-0.04871069985144976
Hyper_BLUE_427nm::0110,-0.004343644146552227,-0.004158478254144323
Hyper_BLUE_434nm::0110,-0.061505134679169716,-0.08189451956264755
Hyper_BLUE_442nm::0110,-0.07302945765328285,-0.07759855301367725
Hyper_BLUE_449nm::0110,-0.07402736145985338,-0.07728019329173147
Hyper_BLUE_457nm::0110,-0.07975351822129544,-0.08989093635139866
Hyper_BLUE_464nm::0110,-0.06789086942128172,-0.08125754331115063
Hyper_BLUE_471nm::0110,-0.0988770484799733,-0.12185462426862943
Hyper_BLUE_479nm::0110,-0.10848489613427222,-0.12030708949731797
Hyper_BLUE_486nm::0110,-0.09809904038324493,-0.10993993322585831
Hyper_BLUE_493nm::0110,-0.10807868301825596,-0.11546579437603986
Hyper_BLUE_501nm::0110,-0.094044821332772,-0.10833112522850936
Hyper_BLUE_508nm::0110,-0.09691624894818407,-0.11123860592574852
Hyper_BLUE_515nm::0110,-0.1115374216848628,-0.1253600234159712
Hyper_BLUE_523nm::0110,-0.049969907245910675,-0.06310259776615995
Hyper_BLUE_530nm::0110,-0.009302110811359829,-0.029765442329606748
Hyper_BLUE_538nm::0110,-0.013091484234196121,-0.029378042754636062
Hyper_BLUE_545nm::0110,0.011772996735013606,-0.009021888117743179
Hyper_BLUE_552nm::0110,0.017989842611217267,0.0018542524244898263
Hyper_BLUE_560nm::0110,-0.005988412398036529,-0.026198799870349707
Hyper_BLUE_567nm::0110,-0.06598882040307759,-0.07587102852051086
Hyper_BLUE_574nm::0110,-0.08297054161803635,-0.09607234399393755
Hyper_BLUE_582nm::0110,-0.11097737928701425,-0.12245775348632433
Hyper_BLUE_589nm::0110,-0.11452020606188354,-0.12390235072798204
Hyper_BLUE_596nm::0110,-0.12154734904512333,-0.1320913770994664
Hyper_BLUE_604nm::0110,-0.11501069158137786,-0.12382917246860989
Hyper_BLUE_611nm::0110,-0.10900227832497415,-0.11907634242461564
Hyper_BLUE_619nm::0110,-0.11751941748316183,-0.13016387229290877
Hyper_BLUE_626nm::0110,-0.12478806359153503,-0.1342617299039851
Hyper_BLUE_633nm::0110,-0.12912609916768894,-0.1386165572287679
Hyper_BLUE_641nm::0110,-0.12328070211913247,-0.13468206154375378
Hyper_BLUE_648nm::0110,-0.12775757781241143,-0.13869570845739643
Hyper_BLUE_655nm::0110,-0.12881053111064464,-0.1387519451261389
Hyper_BLUE_663nm::0110,-0.14165468717177715,-0.15009363346193078
Hyper_BLUE_670nm::0110,-0.13927066926054674,-0.1492079363358645
Hyper_BLUE_678nm::0110,-0.1328088332533982,-0.14302925607735456
Hyper_BLUE_685nm::0110,-0.13264516015551578,-0.1417639207605923
Hyper_BLUE_692nm::0110,-0.12112464307323942,-0.12883703475781869
Hyper_BLUE_700nm::0110,-0.08868108957058125,-0.09033143496637995
Hyper_BLUE_707nm::0110,-0.0142637372425466,-0.021307161303620946
Hyper_BLUE_714nm::0110,0.03901127516740796,0.011332946188067707
Hyper_BLUE_722nm::0110,0.03819159443731442,0.020938420433896293
Hyper_BLUE_729nm::0110,0.06180888500396742,0.06009094732289963
Hyper_BLUE_736nm::0110,0.08400040154780579,0.0885912201881294
Hyper_BLUE_744nm::0110,0.07688844499874996,0.08860810225654525
Hyper_BLUE_751nm::0110,0.0687966368031749,0.0857570132198925
Hyper_BLUE_759nm::0110,0.07511955443517356,0.09110596891019826
Hyper_BLUE_766nm::0110,0.051709113997154055,0.0659138924565361
Hyper_BLUE_773nm::0110,0.06026571789300122,0.07937308162907328
Hyper_BLUE_781nm::0110,0.06902708529401888,0.08826295731251989
Hyper_BLUE_788nm::0110,0.06083111582853171,0.08174627210791485
Hyper_BLUE_795nm::0110,0.05906351438318744,0.07745300988356806
Hyper_BLUE_803nm::0110,0.05365876418909075,0.07186335824141425
Hyper_BLUE_810nm::0110,0.05025756122362497,0.07268964050427468
Hyper_BLUE_818nm::0110,0.05878007238592795,0.08113874619106046
Hyper_BLUE_825nm::0110,0.05086984845074365,0.07751941035422946
Hyper_BLUE_832nm::0110,0.0495184236321579,0.07086229901695934
Hyper_BLUE_840nm::0110,0.057287989758654394,0.07768611530858559
Hyper_BLUE_847nm::0110,0.052822317754146045,0.07848055830415732
Hyper_BLUE_398nm::0117,0.00590709287938852,0.03977267390470718
Hyper_BLUE_405nm::0117,-0.05223756575767478,-0.04291370339609079
Hyper_BLUE_412nm::0117,-0.034176337608273565,0.013489293269854465
Hyper_BLUE_420nm::0117,-0.03353954514642271,-0.04871069985144976
Hyper_BLUE_427nm::0117,-0.004343644146552227,-0.004158478254144323
Hyper_BLUE_434nm::0117,-0.061505134679169716,-0.08189451956264755
Hyper_BLUE_442nm::0117,-0.07302945765328285,-0.07759855301367725
Hyper_BLUE_449nm::0117,-0.07402736145985338,-0.07728019329173147
Hyper_BLUE_457nm::0117,-0.07975351822129544,-0.08989093635139866
Hyper_BLUE_464nm::0117,-0.06789086942128172,-0.08125754331115063
Hyper_BLUE_471nm::0117,-0.0988770484799733,-0.12185462426862943
Hyper_BLUE_479nm::0117,-0.10848489613427222,-0.12030708949731797
Hyper_BLUE_486nm::0117,-0.09809904038324493,-0.10993993322585831
Hyper_BLUE_493nm::0117,-0.10807868301825596,-0.11546579437603986
Hyper_BLUE_501nm::0117,-0.094044821332772,-0.10833112522850936
Hyper_BLUE_508nm::0117,-0.09691624894818407,-0.11123860592574852
Hyper_BLUE_515nm::0117,-0.1115374216848628,-0.1253600234159712
Hyper_BLUE_523nm::0117,-0.049969907245910675,-0.06310259776615995
Hyper_BLUE_530nm::0117,-0.009302110811359829,-0.029765442329606748
Hyper_BLUE_538nm::0117,-0.013091484234196121,-0.029378042754636062
Hyper_BLUE_545nm::0117,0.011772996735013606,-0.009021888117743179
Hyper_BLUE_552nm::0117,0.017989842611217267,0.0018542524244898263
Hyper_BLUE_560nm::0117,-0.005988412398036529,-0.026198799870349707
Hyper_BLUE_567nm::0117,-0.06598882040307759,-0.07587102852051086
Hyper_BLUE_574nm::0117,-0.08297054161803635,-0.09607234399393755
Hyper_BLUE_582nm::0117,-0.11097737928701425,-0.12245775348632433
Hyper_BLUE_589nm::0117,-0.11452020606188354,-0.12390235072798204
Hyper_BLUE_596nm::0117,-0.12154734904512333,-0.1320913770994664
Hyper_BLUE_604nm::0117,-0.11501069158137786,-0.12382917246860989
Hyper_BLUE_611nm::0117,-0.10900227832497415,-0.11907634242461564
Hyper_BLUE_619nm::0117,-0.11751941748316183,-0.13016387229290877
Hyper_BLUE_626nm::0117,-0.12478806359153503,-0.1342617299039851
Hyper_BLUE_633nm::0117,-0.12912609916768894,-0.1386165572287679
Hyper_BLUE_641nm::0117,-0.12328070211913247,-0.13468206154375378
Hyper_BLUE_648nm::0117,-0.12775757781241143,-0.13869570845739643
Hyper_BLUE_655nm::0117,-0.12881053111064464,-0.1387519451261389
Hyper_BLUE_663nm::0117,-0.14165468717177715,-0.15009363346193078
Hyper_BLUE_670nm::0117,-0.13927066926054674,-0.1492079363358645
Hyper_BLUE_678nm::0117,-0.1328088332533982,-0.14302925607735456
Hyper_BLUE_685nm::0117,-0.13264516015551578,-0.1417639207605923
Hyper_BLUE_692nm::0117,-0.12112464307323942,-0.12883703475781869
Hyper_BLUE_700nm::0117,-0.08868108957058125,-0.09033143496637995
Hyper_BLUE_707nm::0117,-0.0142637372425466,-0.021307161303620946
Hyper_BLUE_714nm::0117,0.03901127516740796,0.011332946188067707
Hyper_BLUE_722nm::0117,0.03819159443731442,0.020938420433896293
Hyper_BLUE_729nm::0117,0.06180888500396742,0.06009094732289963
