Trial,method,g_cor_mean,g_cor_sd,Managed_Treatment,Breeding_Cycle
H2013,ABLUP,0.472575532018507,0.121271554741187,Heat,2013-14
H2013,GBLUP,0.421889124219993,0.124386360584214,Heat,2013-14
H2013,BayesianLasso,0.409537362408631,0.114753311761664,Heat,2013-14
H2013,RKHS,0.483924196605159,0.110281589931783,Heat,2013-14
H2013,HBLUP,0.548339413676821,0.156685450727326,Heat,2013-14
H2013,GBLUP+H,0.574210928389809,0.143044876976279,Heat,2013-14
H2013,GBLUP+H+A,0.8206414968176499,0.04328653856738879,Heat,2013-14
H2013,MegaLMM,0.7175105574787232,0.05861838765455205,Heat,2013-14
H2013,GOBLUP,0.8117351841176502,0.0449519064028337,Heat,2013-14
H2014,ABLUP,0.425345456041418,0.0798043483919539,Heat,2014-15
H2014,GBLUP,0.484602148841108,0.0941151912803146,Heat,2014-15
H2014,BayesianLasso,0.485516010736915,0.096423511523162,Heat,2014-15
H2014,RKHS,0.527256626998229,0.0833258521289406,Heat,2014-15
H2014,HBLUP,0.39990394615156,0.0711344976849591,Heat,2014-15
H2014,GBLUP+H,0.575643064708493,0.0674972298240211,Heat,2014-15
H2014,GBLUP+H+A,0.7949007745936416,0.04853056902327796,Heat,2014-15
H2014,MegaLMM,0.6078450536995325,0.06136244918188326,Heat,2014-15
H2014,GOBLUP,0.7724685198438458,0.05555501114331585,Heat,2014-15
H2015,ABLUP,0.412742958006506,0.0535746344965525,Heat,2015-16
H2015,GBLUP,0.510003785290862,0.0846522685853082,Heat,2015-16
H2015,BayesianLasso,0.501729427651932,0.0805132291697547,Heat,2015-16
H2015,RKHS,0.540817456140716,0.0806149589183675,Heat,2015-16
H2015,HBLUP,0.583790478275991,0.0692100722276048,Heat,2015-16
H2015,GBLUP+H,0.692129095387172,0.061551454563365,Heat,2015-16
H2015,GBLUP+H+A,0.8696590761279059,0.03029228134874296,Heat,2015-16
H2015,MegaLMM,0.761225020323531,0.04317729214979483,Heat,2015-16
H2015,GOBLUP,0.8792651113728717,0.02693153479502084,Heat,2015-16
H2016,ABLUP,0.511055017720344,0.0719085357316583,Heat,2016-17
H2016,GBLUP,0.49114628695941,0.104628580604589,Heat,2016-17
H2016,BayesianLasso,0.492405694701634,0.106438174158205,Heat,2016-17
H2016,RKHS,0.606735797460861,0.0818824408779006,Heat,2016-17
H2016,HBLUP,0.532074981839958,0.0620815499529656,Heat,2016-17
H2016,GBLUP+H,0.642773117614518,0.0530135259609879,Heat,2016-17
